filename,total_characters,split
30607.txt,729071,train
41109.txt,110250,train
37035.txt,62465,train
28505.txt,381919,train
36783.txt,595290,train
11869.txt,920486,train
36351.txt,21303,train
31139.txt,514293,train
48350.txt,44107,train
26552.txt,164293,train
47002.txt,568320,train
8415.txt,243124,train
17259.txt,348034,train
30263.txt,441058,train
7082.txt,641217,train
31268.txt,44354,train
29106.txt,474995,train
25290.txt,290016,train
31512.txt,425911,train
5249.txt,296741,train
43657.txt,804927,train
2278.txt,171336,train
10766.txt,1809066,train
35008.txt,216199,train
9883.txt,80686,train
28752.txt,308258,train
29734.txt,428052,train
12774.txt,262646,train
31037.txt,533075,train
34150.txt,529815,train
6009.txt,282162,train
24642.txt,52211,train
41345.txt,70736,train
10611.txt,316212,train
7369.txt,252967,train
46168.txt,55430,train
40552.txt,399700,train
40127.txt,96109,train
34245.txt,209316,train
31483.txt,56182,train
42948.txt,57288,train
35805.txt,479061,train
2065.txt,347798,train
37707.txt,373905,train
50943.txt,920835,train
32451.txt,660641,train
1617.txt,221726,train
43202.txt,71091,train
49453.txt,69316,train
55257.txt,241645,train
28250.txt,69248,train
52216.txt,487251,train
44335.txt,485523,train
819.txt,310748,train
30692.txt,934225,train
33156.txt,557963,train
29123.txt,13211,train
5428.txt,169883,train
23649.txt,5675,train
56222.txt,196573,train
44939.txt,1450218,train
39342.txt,977140,train
8931.txt,180210,train
49008.txt,1389436,train
3565.txt,128358,train
57384.txt,419838,train
9784.txt,484930,train
24981.txt,164225,train
46637.txt,348680,train
5023.txt,339460,train
6984.txt,228456,train
28594.txt,129990,train
56741.txt,88414,train
44092.txt,144325,train
34350.txt,1539067,train
39508.txt,662948,train
36626.txt,1207214,train
55779.txt,705912,train
53940.txt,539963,train
43170.txt,366252,train
58223.txt,99684,train
31140.txt,325183,train
35222.txt,173629,train
29745.txt,397498,train
37322.txt,517783,train
56185.txt,122562,train
25815.txt,390277,train
42788.txt,138471,train
40888.txt,63150,train
52987.txt,84038,train
8684.txt,386638,train
46390.txt,467189,train
7600.txt,705679,train
4494.txt,145515,train
46676.txt,605979,train
53833.txt,378502,train
41851.txt,69459,train
28984.txt,100418,train
55604.txt,69364,train
47098.txt,907188,train
31890.txt,81647,train
49387.txt,103142,train
55101.txt,431941,train
14594.txt,417661,train
41092.txt,390300,train
57276.txt,214454,train
37314.txt,193394,train
28700.txt,516326,train
36926.txt,26332,train
4173.txt,92614,train
48992.txt,788473,train
33251.txt,333422,train
43703.txt,672347,train
53162.txt,29246,train
26414.txt,72118,train
34045.txt,261229,train
4227.txt,223507,train
39743.txt,137321,train
24591.txt,80725,train
36182.txt,63337,train
41878.txt,498543,train
49588.txt,66412,train
3119.txt,37336,train
40155.txt,484069,train
35889.txt,1314610,train
49309.txt,92443,train
4761.txt,344041,train
55012.txt,1293426,train
34743.txt,50799,train
6786.txt,163266,train
31259.txt,414085,train
50047.txt,432517,train
24581.txt,82059,train
2467.txt,123809,train
55567.txt,115189,train
30507.txt,155734,train
22989.txt,80649,train
33285.txt,324438,train
3640.txt,158408,train
46175.txt,563979,train
2603.txt,194244,train
36038.txt,39124,train
51453.txt,493124,train
264.txt,40323,train
39047.txt,213427,train
25959.txt,181181,train
24097.txt,162443,train
30837.txt,384354,train
43395.txt,284435,train
5832.txt,284761,train
52770.txt,165077,train
40835.txt,619194,train
58078.txt,152358,train
475.txt,731470,train
119.txt,877280,train
6898.txt,268664,train
50418.txt,242175,train
14619.txt,60964,train
4916.txt,197347,train
37498.txt,229782,train
3566.txt,129810,train
25412.txt,162769,train
53772.txt,630379,train
1016.txt,94496,train
512.txt,421245,train
8605.txt,843671,train
54620.txt,1250964,train
39258.txt,29737,train
53945.txt,570734,train
44447.txt,136623,train
50938.txt,360279,train
42640.txt,23574,train
57840.txt,271603,train
21114.txt,391859,train
25384.txt,241673,train
3866.txt,150674,train
2431.txt,124264,train
17104.txt,7945,train
35248.txt,274956,train
49051.txt,41691,train
46498.txt,1050865,train
53346.txt,867655,train
57316.txt,543418,train
3751.txt,398062,train
44534.txt,426787,train
625.txt,171933,train
29479.txt,602923,train
32703.txt,122999,train
27051.txt,353818,train
35117.txt,508262,train
42696.txt,696132,train
2757.txt,118054,train
53496.txt,6603,train
39036.txt,763491,train
44289.txt,213561,train
48891.txt,366973,train
28833.txt,95694,train
24741.txt,115470,train
36788.txt,494122,train
3376.txt,361661,train
26599.txt,442464,train
3236.txt,194603,train
48252.txt,189890,train
58283.txt,425794,train
31912.txt,300441,train
9441.txt,368180,train
11970.txt,497660,train
37387.txt,365436,train
37939.txt,119729,train
10340.txt,366537,train
47521.txt,609207,train
35173.txt,110035,train
46777.txt,223878,train
47591.txt,388933,train
46885.txt,103395,train
2741.txt,467256,train
52460.txt,53109,train
35574.txt,189235,train
13364.txt,369957,train
50004.txt,550848,train
29386.txt,1247474,train
27262.txt,138678,train
45181.txt,333799,train
28521.txt,142153,train
31605.txt,202456,train
41173.txt,152090,train
3936.txt,128858,train
44994.txt,267427,train
284.txt,731072,train
43684.txt,563047,train
35511.txt,165769,train
42190.txt,543724,train
55148.txt,390193,train
25989.txt,226849,train
35353.txt,66874,train
44644.txt,323736,train
770.txt,275834,train
45555.txt,145412,train
24994.txt,93719,train
55000.txt,286183,train
4046.txt,126872,train
54388.txt,65484,train
2150.txt,459206,train
57060.txt,2491800,train
40063.txt,450806,train
7158.txt,45705,train
53624.txt,280415,train
54383.txt,829097,train
95.txt,288548,train
25122.txt,639675,train
2777.txt,359762,train
3306.txt,158458,train
53152.txt,304363,train
39260.txt,462257,train
56119.txt,1030779,train
58314.txt,372536,train
25164.txt,719189,train
31018.txt,17964,train
13539.txt,207642,train
41816.txt,337817,train
49254.txt,140594,train
48339.txt,121849,train
34338.txt,684255,train
49301.txt,671294,train
55109.txt,324849,train
48444.txt,247149,train
1417.txt,668385,train
54885.txt,162258,train
36313.txt,441191,train
896.txt,54262,train
48923.txt,28398,train
36103.txt,263195,train
13069.txt,211490,train
43571.txt,451403,train
44604.txt,106976,train
52942.txt,619345,train
43439.txt,138366,train
10093.txt,254430,train
1057.txt,235463,train
2243.txt,133435,train
3958.txt,103177,train
52733.txt,569268,train
23989.txt,155864,train
57137.txt,315739,train
22839.txt,50052,train
814.txt,101393,train
32169.txt,180236,train
52603.txt,764726,train
44588.txt,564856,train
37996.txt,318065,train
31243.txt,449191,train
44091.txt,279647,train
40883.txt,493710,train
5950.txt,1137663,train
48366.txt,312271,train
27977.txt,1835789,train
37610.txt,920979,train
40759.txt,319471,train
43961.txt,389251,train
25618.txt,478242,train
2360.txt,605875,train
27279.txt,865100,train
27401.txt,146830,train
46848.txt,1184292,train
7470.txt,383349,train
26094.txt,394795,train
44915.txt,163826,train
57854.txt,210943,train
926.txt,909009,train
4489.txt,191793,train
57612.txt,520289,train
41418.txt,571784,train
30740.txt,181280,train
54137.txt,812941,train
1140.txt,431556,train
31710.txt,501589,train
46363.txt,328872,train
21229.txt,195907,train
40940.txt,1028807,train
30190.txt,864559,train
37146.txt,28588,train
5114.txt,1248407,train
3197.txt,189495,train
6867.txt,371599,train
4739.txt,75857,train
29582.txt,100015,train
56099.txt,66407,train
36303.txt,226727,train
48517.txt,113042,train
12531.txt,84602,train
33481.txt,446942,train
27225.txt,381021,train
42024.txt,142624,train
3682.txt,359323,train
47343.txt,243368,train
40103.txt,432241,train
24088.txt,39959,train
34308.txt,528166,train
44701.txt,189515,train
48486.txt,344483,train
2648.txt,92761,train
9294.txt,1040922,train
10077.txt,485303,train
37388.txt,205527,train
41547.txt,745890,train
30950.txt,253599,train
25490.txt,259913,train
37236.txt,404710,train
55133.txt,489263,train
55201.txt,1408281,train
42217.txt,418513,train
50129.txt,301690,train
58202.txt,393942,train
3410.txt,326038,train
35558.txt,1100028,train
51769.txt,360346,train
42018.txt,39799,train
26481.txt,133790,train
38482.txt,201544,train
21514.txt,423608,train
12469.txt,63181,train
32242.txt,297681,train
54086.txt,236802,train
7831.txt,746520,train
48355.txt,225877,train
26333.txt,255000,train
26593.txt,318835,train
6722.txt,169535,train
2533.txt,21896,train
294.txt,462318,train
33216.txt,380967,train
45350.txt,128468,train
493.txt,168644,train
5183.txt,159067,train
34744.txt,191004,train
50696.txt,609981,train
38552.txt,179722,train
24923.txt,1138519,train
2472.txt,656723,train
38679.txt,439836,train
10879.txt,396725,train
11248.txt,1470475,train
37362.txt,210033,train
7320.txt,181439,train
26052.txt,123536,train
10999.txt,260944,train
34335.txt,378816,train
40716.txt,150526,train
4246.txt,972655,train
10737.txt,4798,train
44205.txt,691203,train
25610.txt,55870,train
1043.txt,626621,train
34765.txt,639232,train
47526.txt,161172,train
54903.txt,1192757,train
8576.txt,519282,train
30724.txt,525499,train
47730.txt,863404,train
24419.txt,467287,train
13989.txt,76434,train
40488.txt,299416,train
49916.txt,176189,train
318.txt,357395,train
39925.txt,400607,train
52149.txt,64543,train
42164.txt,484087,train
58361.txt,330427,train
54389.txt,269528,train
25766.txt,391045,train
35911.txt,751126,train
35726.txt,29091,train
49858.txt,945991,train
57191.txt,1354711,train
7023.txt,550549,train
26361.txt,980714,train
28522.txt,175299,train
12134.txt,103158,train
52617.txt,1159871,train
31367.txt,123204,train
32947.txt,147102,train
43301.txt,182768,train
3454.txt,517733,train
48407.txt,62155,train
10567.txt,22433,train
16927.txt,710020,train
42899.txt,485263,train
37583.txt,182821,train
25958.txt,185384,train
9462.txt,71117,train
52141.txt,322242,train
47383.txt,688454,train
4756.txt,24298,train
55361.txt,457060,train
48045.txt,692077,train
9483.txt,73954,train
5995.txt,850287,train
10639.txt,75750,train
32219.txt,241470,train
3248.txt,244751,train
41276.txt,390784,train
54598.txt,508443,train
36387.txt,338242,train
39116.txt,490795,train
39639.txt,25884,train
34106.txt,139956,train
35512.txt,289108,train
54660.txt,131530,train
51374.txt,908688,train
35748.txt,118577,train
46076.txt,229369,train
33723.txt,64252,train
34710.txt,533918,train
43467.txt,508440,train
54822.txt,58498,train
7684.txt,1134206,train
53821.txt,278764,train
57398.txt,125607,train
6236.txt,702022,train
35294.txt,321678,train
29517.txt,329388,train
24461.txt,53455,train
44772.txt,2248338,train
35792.txt,983724,train
48058.txt,583010,train
51817.txt,181362,train
3379.txt,290249,train
41311.txt,115291,train
33387.txt,233626,train
38531.txt,756936,train
39110.txt,7628,train
48889.txt,2935787,train
55550.txt,500725,train
35109.txt,406253,train
37281.txt,64474,train
2676.txt,359884,train
3551.txt,188319,train
1191.txt,151081,train
42725.txt,289631,train
43630.txt,339884,train
31592.txt,86762,train
46680.txt,420630,train
32918.txt,678895,train
37301.txt,285388,train
34740.txt,278447,train
57247.txt,1040407,train
56750.txt,1288465,train
30800.txt,89800,train
56181.txt,94767,train
8867.txt,564409,train
33262.txt,496846,train
58562.txt,247010,train
43780.txt,133136,train
2198.txt,416951,train
43012.txt,201579,train
56976.txt,562961,train
44761.txt,67017,train
45571.txt,90332,train
4391.txt,191597,train
52160.txt,1532001,train
2258.txt,156122,train
52869.txt,1315137,train
49567.txt,123536,train
36410.txt,166984,train
41581.txt,287404,train
21394.txt,405119,train
2037.txt,379569,train
50495.txt,315013,train
41387.txt,478214,train
3426.txt,36849,train
16092.txt,368874,train
40547.txt,513541,train
38114.txt,202406,train
43834.txt,9355,train
11387.txt,73402,train
57896.txt,324777,train
29249.txt,47246,train
10083.txt,610362,train
2498.txt,193844,train
7277.txt,636180,train
51043.txt,103393,train
45503.txt,284309,train
5071.txt,142145,train
22129.txt,181430,train
52924.txt,114085,train
37904.txt,809148,train
46132.txt,586196,train
5397.txt,157943,train
986.txt,106117,train
44997.txt,216018,train
25477.txt,248096,train
48871.txt,195730,train
3104.txt,433913,train
31090.txt,962073,train
41217.txt,321614,train
33334.txt,248971,train
55660.txt,1444515,train
32539.txt,59876,train
57589.txt,198329,train
28040.txt,635570,train
989.txt,176571,train
30505.txt,81160,train
44774.txt,205408,train
2027.txt,106362,train
3916.txt,125605,train
12769.txt,546779,train
40874.txt,783378,train
36243.txt,477958,train
44638.txt,1759646,train
10643.txt,616960,train
37424.txt,292143,train
49843.txt,2761518,train
39775.txt,1066546,train
45683.txt,333264,train
42386.txt,736541,train
7763.txt,234459,train
33947.txt,214651,train
8638.txt,829740,train
46185.txt,119345,train
11702.txt,281384,train
48547.txt,117347,train
25700.txt,1038905,train
28093.txt,381074,train
49201.txt,80021,train
2746.txt,211939,train
4288.txt,243883,train
47220.txt,915112,train
55601.txt,132440,train
58082.txt,437567,train
49714.txt,380800,train
50639.txt,333222,train
48443.txt,555602,train
49087.txt,377374,train
37431.txt,161512,train
25681.txt,28410,train
39159.txt,309289,train
25977.txt,1465107,train
34219.txt,389874,train
44082.txt,739361,train
55654.txt,353185,train
56088.txt,165253,train
11054.txt,192944,train
1433.txt,74000,train
58669.txt,1851565,train
42245.txt,366469,train
7907.txt,1719,train
45687.txt,319116,train
8694.txt,141572,train
47125.txt,344824,train
27987.txt,64275,train
48955.txt,266152,train
40703.txt,303490,train
54191.txt,41781,train
4932.txt,771952,train
54712.txt,66453,train
45732.txt,367967,train
13911.txt,372248,train
49100.txt,152599,train
39397.txt,397735,train
3325.txt,127582,train
26433.txt,539460,train
28729.txt,1068567,train
38579.txt,398093,train
33024.txt,198173,train
3417.txt,718474,train
3445.txt,665309,train
2011.txt,349891,train
48119.txt,610013,train
28104.txt,174303,train
5269.txt,356303,train
1287.txt,576071,train
28266.txt,402040,train
9668.txt,481719,train
1869.txt,354353,train
49679.txt,620735,train
50676.txt,701727,train
28324.txt,7492,train
10970.txt,98452,train
32644.txt,359294,train
43976.txt,343352,train
26667.txt,317544,train
2941.txt,341762,train
33664.txt,622657,train
25338.txt,237105,train
45172.txt,456284,train
34807.txt,471101,train
33661.txt,38855,train
1061.txt,447081,train
5695.txt,225052,train
10274.txt,226760,train
48138.txt,1021794,train
48035.txt,693830,train
5346.txt,1436716,train
58146.txt,104804,train
25678.txt,761110,train
53256.txt,172617,train
39443.txt,497288,train
28820.txt,498095,train
51128.txt,209406,train
27674.txt,202226,train
35265.txt,292896,train
33823.txt,439524,train
29991.txt,303256,train
34070.txt,341399,train
29108.txt,86726,train
58335.txt,76123,train
9877.txt,85025,train
47297.txt,895234,train
46384.txt,420048,train
1442.txt,393315,train
47420.txt,388555,train
1559.txt,691072,train
11117.txt,492952,train
34600.txt,512218,train
37355.txt,187167,train
8675.txt,97571,train
24513.txt,359101,train
9879.txt,1024811,train
46067.txt,328949,train
2503.txt,175729,train
12734.txt,272563,train
28830.txt,13870,train
57672.txt,270117,train
46780.txt,101057,train
8295.txt,369795,train
37411.txt,137373,train
31184.txt,104021,train
57554.txt,708309,train
41007.txt,42505,train
47898.txt,298355,train
56180.txt,249244,train
40300.txt,301756,train
40262.txt,486545,train
5758.txt,381201,train
10842.txt,532799,train
13639.txt,94389,train
3423.txt,642982,train
43216.txt,325316,train
37591.txt,177724,train
39626.txt,41224,train
56385.txt,529095,train
39956.txt,668138,train
9185.txt,350871,train
1716.txt,456706,train
31026.txt,843932,train
38593.txt,779444,train
24936.txt,56619,train
47457.txt,122693,train
27182.txt,10225,train
47181.txt,299132,train
44459.txt,638776,train
35554.txt,310485,train
58076.txt,259223,train
2006.txt,25296,train
10148.txt,590101,train
37599.txt,537564,train
47881.txt,116716,train
208.txt,122492,train
6661.txt,1588853,train
52115.txt,118066,train
46462.txt,637391,train
11449.txt,95951,train
38325.txt,668345,train
44021.txt,1269887,train
56805.txt,1780855,train
1005.txt,203446,train
26962.txt,536019,train
4514.txt,535186,train
53360.txt,3467051,train
46982.txt,148112,train
50954.txt,5258602,train
17174.txt,391554,train
2519.txt,762846,train
42118.txt,74891,train
38747.txt,567481,train
45412.txt,492257,train
9256.txt,39215,train
26487.txt,99240,train
4236.txt,676465,train
43433.txt,1160056,train
40848.txt,270395,train
39831.txt,109506,train
56566.txt,288453,train
25970.txt,64961,train
48474.txt,166071,train
25010.txt,72819,train
40334.txt,397044,train
33651.txt,206918,train
4251.txt,724197,train
82.txt,1107667,train
3748.txt,419341,train
34948.txt,620932,train
44104.txt,1501096,train
54926.txt,524134,train
1081.txt,810269,train
34203.txt,769174,train
46248.txt,487799,train
42429.txt,430982,train
2363.txt,124205,train
25818.txt,433774,train
58346.txt,478835,train
31320.txt,210639,train
7118.txt,523408,train
1336.txt,52556,train
51600.txt,254424,train
58134.txt,467847,train
7498.txt,444461,train
5933.txt,93237,train
56940.txt,774558,train
40220.txt,173421,train
39655.txt,935290,train
44063.txt,634025,train
47285.txt,372195,train
54797.txt,538489,train
15839.txt,536826,train
56747.txt,771981,train
30745.txt,1498316,train
413.txt,91242,train
1558.txt,505999,train
51860.txt,538392,train
49708.txt,222303,train
45928.txt,512646,train
32932.txt,283808,train
46409.txt,358470,train
34120.txt,893494,train
42278.txt,89069,train
54654.txt,162782,train
8995.txt,310146,train
1835.txt,99116,train
55961.txt,312348,train
58771.txt,24513,train
35156.txt,472564,train
11269.txt,357759,train
58164.txt,346936,train
9777.txt,71585,train
36520.txt,1001238,train
52103.txt,66919,train
11585.txt,250166,train
39934.txt,805921,train
45095.txt,81149,train
38236.txt,340442,train
37380.txt,397748,train
28477.txt,137734,train
8516.txt,1185828,train
37472.txt,133916,train
17894.txt,309891,train
56186.txt,720603,train
26430.txt,536926,train
1679.txt,359891,train
36811.txt,433235,train
28503.txt,325541,train
48839.txt,1254937,train
40943.txt,902896,train
40335.txt,500155,train
53598.txt,331614,train
36423.txt,269744,train
52215.txt,213784,train
57152.txt,708259,train
54683.txt,599582,train
55031.txt,51468,train
28025.txt,643397,train
33467.txt,803491,train
36634.txt,467413,train
4534.txt,368073,train
33671.txt,129295,train
2983.txt,466592,train
33828.txt,83604,train
20279.txt,397411,train
51644.txt,260992,train
58499.txt,637706,train
9492.txt,148382,train
2434.txt,86536,train
39969.txt,784132,train
43427.txt,1224781,train
1562.txt,322452,train
38897.txt,278312,train
35277.txt,247417,train
32203.txt,324013,train
11376.txt,400889,train
30526.txt,10811,train
5080.txt,1244651,train
25966.txt,407331,train
26156.txt,1585156,train
58220.txt,537781,train
11388.txt,74902,train
2077.txt,870266,train
57260.txt,1240597,train
46833.txt,604798,train
24764.txt,538242,train
45720.txt,422711,train
58304.txt,269316,train
40323.txt,103731,train
40168.txt,499092,train
58697.txt,293634,train
41594.txt,566519,train
27078.txt,9172,train
35190.txt,307152,train
54866.txt,594745,train
47638.txt,49434,train
51937.txt,296176,train
43745.txt,519632,train
10630.txt,10523,train
40463.txt,277486,train
24635.txt,82961,train
51391.txt,457318,train
36803.txt,54334,train
57176.txt,1035351,train
35553.txt,208061,train
41200.txt,687149,train
49283.txt,401973,train
1335.txt,168485,train
392.txt,740538,train
55905.txt,945420,train
51878.txt,692364,train
43302.txt,720548,train
35045.txt,197122,train
58147.txt,764592,train
52481.txt,311442,train
51002.txt,253644,train
4363.txt,382926,train
26669.txt,310331,train
55771.txt,746058,train
38154.txt,118938,train
47588.txt,215205,train
44282.txt,418765,train
37293.txt,484835,train
55981.txt,328447,train
34134.txt,475807,train
1878.txt,403501,train
47907.txt,35768,train
55212.txt,587373,train
57440.txt,112367,train
45041.txt,1097588,train
27727.txt,10032,train
29945.txt,483988,train
49990.txt,474218,train
27071.txt,162409,train
56663.txt,425515,train
49081.txt,113633,train
21931.txt,267562,train
10589.txt,86807,train
39169.txt,8244,train
6205.txt,281428,train
967.txt,1848420,train
6102.txt,719512,train
6664.txt,316178,train
410.txt,65178,train
25506.txt,375523,train
2717.txt,68224,train
2726.txt,390768,train
28989.txt,396312,train
29425.txt,494192,train
56954.txt,245941,train
522.txt,165365,train
9305.txt,196551,train
28329.txt,930227,train
1953.txt,131843,train
33837.txt,353287,train
50113.txt,943161,train
28816.txt,15406,train
44914.txt,46612,train
34465.txt,101926,train
31731.txt,243677,train
6788.txt,185879,train
26482.txt,663115,train
650.txt,416665,train
57033.txt,1345737,train
37915.txt,521719,train
39960.txt,750136,train
47367.txt,794588,train
49516.txt,223202,train
3469.txt,797981,train
27340.txt,125528,train
8083.txt,36483,train
10520.txt,148000,train
33975.txt,131344,train
54340.txt,71213,train
6050.txt,822581,train
35297.txt,472380,train
54732.txt,173237,train
57307.txt,333362,train
54056.txt,220307,train
58288.txt,961687,train
52122.txt,208531,train
35187.txt,216936,train
45797.txt,96515,train
52583.txt,234735,train
25950.txt,241005,train
3625.txt,260102,train
32058.txt,154373,train
4122.txt,87099,train
47805.txt,394884,train
45812.txt,311957,train
37471.txt,462369,train
7804.txt,57982,train
11332.txt,74871,train
36685.txt,182835,train
38840.txt,188256,train
33987.txt,109067,train
51282.txt,461911,train
25995.txt,223742,train
4140.txt,104013,train
46075.txt,186032,train
47813.txt,275032,train
56313.txt,1415015,train
33174.txt,288956,train
33886.txt,318310,train
24871.txt,251581,train
51987.txt,523274,train
50374.txt,448823,train
15224.txt,193415,train
39959.txt,458774,train
1175.txt,88914,train
58312.txt,32066,train
3384.txt,25451,train
34000.txt,771458,train
34883.txt,381330,train
35050.txt,218180,train
29304.txt,204801,train
3581.txt,116226,train
9254.txt,116842,train
56236.txt,415735,train
37158.txt,175323,train
54179.txt,51933,train
31774.txt,349370,train
38749.txt,376854,train
46591.txt,97129,train
41030.txt,198441,train
29412.txt,1100184,train
34393.txt,67664,train
35336.txt,433103,train
32943.txt,149245,train
39677.txt,139349,train
4715.txt,375344,train
2807.txt,619421,train
32548.txt,89468,train
37226.txt,401133,train
31687.txt,272315,train
8910.txt,826713,train
48299.txt,236200,train
45479.txt,54424,train
40079.txt,370220,train
32309.txt,147162,train
6952.txt,676411,train
52824.txt,194390,train
45651.txt,350615,train
53616.txt,503316,train
30546.txt,383059,train
26244.txt,428123,train
2643.txt,208272,train
347.txt,379995,train
34373.txt,317401,train
51427.txt,456451,train
4272.txt,295804,train
7842.txt,150300,train
35201.txt,607437,train
56756.txt,281930,train
48278.txt,173816,train
40212.txt,22354,train
32803.txt,52495,train
43678.txt,606053,train
54160.txt,528426,train
5662.txt,36648,train
35545.txt,327990,train
33475.txt,439751,train
48686.txt,45591,train
55431.txt,368381,train
47571.txt,839964,train
9317.txt,21098,train
1993.txt,70217,train
1077.txt,304915,train
48160.txt,89484,train
57325.txt,54664,train
49616.txt,71365,train
49458.txt,397572,train
30643.txt,341950,train
56697.txt,8382,train
34140.txt,743238,train
54824.txt,1974068,train
8873.txt,414908,train
43280.txt,415817,train
41795.txt,229708,train
50095.txt,1414464,train
7210.txt,285273,train
35954.txt,180536,train
50535.txt,216630,train
19939.txt,743539,train
26783.txt,33666,train
35424.txt,281557,train
21089.txt,457784,train
8900.txt,163781,train
51717.txt,787872,train
36637.txt,148009,train
54801.txt,866106,train
